"","paper","paper_id","coder","coder_id","paper_coder","supervisor","supervisor_id"
"1","Wolf et al, 2018: Experimental Impacts of the Quality Preschool for Ghana Interventions on Teacher Professional Well-being, Classroom Quality, and Children's School Readiness","TR_01","Mike Gibson",9999,"TR_01-9999","Fei Yuan","PI2598"
"2","Basinga et al, 2011: Effect on maternal and child health services in Rwanda of payment to primary health-care providers for performance: an impact evaluation","TR_02","Mike Gibson",9999,"TR_02-9999","Anja Sautmann","PI9813"
"3","Yoshikawa et al, 2015: Experimental impacts of a teacher professional development program in Chile on preschool classroom quality and child outcomes","TR_03","Mike Gibson",9999,"TR_03-9999","Sergio Puerto","PI2423"
"4","Ozler et al, 2018: Combining pre-school teacher training with parenting education: A cluster-randomized controlled trial","TR_04","Mike Gibson",9999,"TR_04-9999","Edward Miguel","PI7697"
"5","Pickering et al, 2019: Effect of in-line drinking water chlorination at the point of collection on child diarrhoea in urban Bangladesh: a double-blind, cluster-randomised controlled trial","TR_05","Mike Gibson",9999,"TR_05-9999","Fei Yuan","PI2598"
"6","Muralidharan et al, 2021: Improving Last-Mile Service Delivery Using Phone-Based Monitoring","TR_06","Mike Gibson",9999,"TR_06-9999","Anja Sautmann","PI9813"
"7","Ashraf et al, 2010: Can Higher Prices Stimulate Product Use? Evidence from a Field Experiment in Zambia","TR_07","Mike Gibson",9999,"TR_07-9999","Alaka Holla","PI7251"
"8","Leaver et al, 2021: Recruitment, Effort, and Retention Effects of Performance Contracts for Civil Servants: Experimental Evidence from Rwandan Primary Schools","TR_08","Mike Gibson",9999,"TR_08-9999","Edward Miguel","PI7697"
"9","Chong et al, 2015: Does Corruption Information Inspire the Fight or Quash the Hope? A Field Experiment in Mexico on Voter Turnout, Choice, and Party Identification","TR_09","Mike Gibson",9999,"TR_09-9999","Fei Yuan","PI2598"
"10","Freeman et al, 2021: The impact of a demand-side sanitation and hygiene promotion intervention on sustained behavior change and health in Amhara, Ethiopia: a cluster-randomized trial","TR_10","Mike Gibson",9999,"TR_10-9999","Axel Schneider","PI8697"
"11","Blair et al, 2019: Establishing the Rule of Law in Weak and War-torn States: Evidence from a Field Experiment with the Liberian National Police","TR_11","Eric Dee",1008,"TR_11-1008","Axel Schneider","PI8697"
"12","Paper","TEST","Mike Gibson",9999,"TEST-9999","Alaka Holla","PI7251"
"13","Effects of nutritional supplementation and home visiting on growth and development in young children in Madagascar: a cluster-randomised controlled trial","SE1","Winnie Mughogho",1002,"SE1-1002","Fei Yuan","PI2598"
"14","Lipid-Based Nutrient Supplementation Reduces Child Anemia and Increases Micronutrient Status in Madagascar: A Multiarm Cluster-Randomized Controlled Trial","SE2","Susan Awor",1003,"SE2-1003","Sergio Puerto","PI2423"
"15","The Role of Information and Cash Transfers in Early Childhood Development: Short and Long Run Evidence from Nepal","SE3","Winnie Mughogho",1002,"SE3-1002","Eva Vivalt","PI7124"
"16","Behavioral change promotion, cash transfers and early childhood development: Experimental evidence from a government program in a low-income setting","SE4","Johanna Reyes",1015,"SE4-1015","Edward Miguel","PI7697"
"17","Effect of a home-visiting parenting program to promote early childhood development and prevent violence: a cluster-randomized trial in Rwanda","SE5","Monica Shandal",1006,"SE5-1006","Eva Vivalt","PI7124"
"18","Preschool and Parental Response in a Second Best World. Evidence from a School Construction Experiment","SE6","Ahwaz Akhtar",1001,"SE6-1001","Eva Vivalt","PI7124"
"19","Experimental Impacts of the �Quality Preschool for Ghana� Interventions on Teacher Professional Well-being, Classroom Quality, and Children�s School Readiness","SE7","Hamisi Fakhi",1022,"SE7-1022","Axel Schneider","PI8697"
"20","Longitudinal causal impacts of preschool teacher training on Ghanaian children�s school readiness: Evidence for persistence and fade-out","SE8","Ahwaz Akhtar",1001,"SE8-1001","Axel Schneider","PI8697"
"21","Year 3 Follow-Up of the �Quality Preschool for Ghana� Interventions on Child Development","SE9","Colley Buwana",1004,"SE9-1004","Fei Yuan","PI2598"
"22","Medium-term protective effects of quality early childhood education during the COVID-19 pandemic in Ghana","SE10","Alyssa Heinze",1016,"SE10-1016","Eva Vivalt","PI7124"
"23","Enhancing young children�s language acquisition through parent�child book-sharing: A randomized trial in rural Kenya","SE11","Colley Buwana",1004,"SE11-1004","Fei Yuan","PI2598"
"24","Combining pre-school teacher training with parenting education: A cluster-randomized controlled trial","SE12","Alyssa Heinze",1016,"SE12-1016","Edward Miguel","PI7697"
"25","Cash Transfers, Behavioral Changes, and Cognitive Development in Early Childhood: Evidence from a Randomized Experiment","SE13","Dina O'Brien",1019,"SE13-1019","Edward Miguel","PI7697"
"26","Using the infrastructure of a conditional cash transfer program to deliver a scalable integrated early child development program in Colombia: cluster randomized controlled trial","SE14","Monica Shandal",1006,"SE14-1006","Alaka Holla","PI7251"
"27","Impacts 2 years after a scalable early childhood development intervention to increase psychosocial stimulation in the home: A follow-up of a cluster randomised controlled trial in Colombia","SE15","Johanna Reyes",1015,"SE15-1015","Edward Miguel","PI7697"
"28","Preschool and Child Development Under Extreme Poverty: Evidence from a Randomized Experiment in Rural Mozambique","SE16","Dina O'Brien",1019,"SE16-1019","Edward Miguel","PI7697"
"29","Cognitive science in the field: A preschool intervention durably enhances intuitive but not formal mathematics","SE17","Hamisi Fakhi",1022,"SE17-1022","Fei Yuan","PI2598"
"30","Experimental impacts of a teacher professional development program in early childhood on explicit vocabulary instruction across the curriculum","SE18","Susan Awor",1003,"SE18-1003","Eva Vivalt","PI7124"
"31","Experimental impacts of a teacher professional development program in Chile on preschool classroom quality and child outcomes","SE19","Jennie Barker",1017,"SE19-1017","Eva Vivalt","PI7124"
"32","Preschool Quality and Child Development","SE20","Eric Dee",1008,"SE20-1008","Axel Schneider","PI8697"
"33","Joint roles of parenting and nutritional status for child development: Evidence from rural Cambodia","SE21","Mike Gibson",9999,"SE21-9999","Alaka Holla","PI7251"
"34","Improving Access and Quality in Early Childhood Development Programs: Experimental Evidence from the Gambia","SE22","Salim Benhachmi",1018,"SE22-1018","Eva Vivalt","PI7124"
"35","Learning Together. Experimental Evidence on the Impact of Group-Based Nutrition Interventions in Rural Bihar","SE23","Colley Buwana",1004,"SE23-1004","Anja Sautmann","PI9813"
"36","Changing Pedagogy to Improve Skills in Preschools: Experimental Evidence from Peru","SE24","Hamisi Fakhi",1022,"SE24-1022","Sergio Puerto","PI2423"
"37","Augmenting State Capacity for Child Development: Experimental Evidence from India","SE25","Johanna Reyes",1015,"SE25-1015","Eva Vivalt","PI7124"
"38","Group Sessions or Home Visits for Early Childhood Development in India: A Cluster RCT","SE26","Winnie Mughogho",1002,"SE26-1002","Axel Schneider","PI8697"
"39","Cognitive, psychosocial, and behaviour gains at agE31 years from the Jamaica early childhood stimulation trial","SE27","Alyssa Heinze",1016,"SE27-1016","Edward Miguel","PI7697"
"40","Labor Market Returns to Early Childhood Stimulation: a 20-year Followup to an Experimental Intervention in Jamaica","SE28","Hamisi Fakhi",1022,"SE28-1022","Fei Yuan","PI2598"
"41","Informing Mothers About the Benefits of Conversing With Infants: Experimental Evidence From Ghana","SE29","Susan Awor",1003,"SE29-1003","Sergio Puerto","PI2423"
"42","Integrating early child development into an existing health and nutrition program: evidence from a cluster-randomized controlled trial","SE30","Susan Awor",1003,"SE30-1003","Edward Miguel","PI7697"
"43","Changing trajectories of learning and development: Experimental evidence from the Quality Preschool for Ghana interventions","SE31","Jennie Barker",1017,"SE31-1017","Fei Yuan","PI2598"
"44","Do Behavioral Interventions Enhance the Effects of Cash on Early Childhood Development and Its Determinants? Evidence from a Cluster-Randomized Trial in Madagascar","SE32","Ahwaz Akhtar",1001,"SE32-1001","Alaka Holla","PI7251"
"45","Drinking water chlorination has minor effects on the intestinal flora and resistomes of Bangladeshi children","SE33","Eric Dee",1008,"SE33-1008","Alaka Holla","PI7251"
"46","Early childhood human capital formation at scale","SE34","Susan Awor",1003,"SE34-1003","Fei Yuan","PI2598"
"47","Early Stimulation and Enhance Preschool: A Randomized Trial","SE35","Mike Gibson",9999,"SE35-9999","Alaka Holla","PI7251"
"48","Effect of in-line drinking water chlorination at the point of collection on child diarrhoea in urban Bangladesh: a double-blind, cluster-randomised controlled trial","SE36","Eric Dee",1008,"SE36-1008","Eva Vivalt","PI7124"
"49","Effect of the SPRING home visits intervention on early child development and growth in rural India and Pakistan: parallel cluster randomised controlled trials","SE37","Salim Benhachmi",1018,"SE37-1018","Alaka Holla","PI7251"
"50","Improving preschool provision and encouraging-demand: Evidence from a large-scale construction program","SE38","Susan Awor",1003,"SE38-1003","Anja Sautmann","PI9813"
"51","Lay-worker Delivered Home Visiting Promotes Early Childhood Development and Reduces Violence in Rwanda: A Randomized Pilot","SE39","Ahwaz Akhtar",1001,"SE39-1001","Edward Miguel","PI7697"
"52","Maternal time investment in caregiving activities to promote early childhood development: Evidence from rural India","SE40","Winnie Mughogho",1002,"SE40-1002","Alaka Holla","PI7251"
"53","Promoting parent-child relationships and preventing violence via home-visiting: a pre-post cluster randomised trial among Rwandan families linked to social protection programmes","SE41","Monica Shandal",1006,"SE41-1006","Sergio Puerto","PI2423"
"54","A Community Health Worker�Based Intervention on Anthropometric Outcomes of Children Aged 3 to 21 Months in Urban Pakistan, 2019�2021","SE42","Dina O'Brien",1019,"SE42-1019","Sergio Puerto","PI2423"
"55","Live tutoring calls did not improve learning during the COVID-19 pandemic in Sierra Leone","SE43","Johanna Reyes",1015,"SE43-1015","Anja Sautmann","PI9813"
"56","Early Childhood Stimulation Benefits Adult Competence and Reduces Violent Behavior","SE44","Winnie Mughogho",1002,"SE44-1002","Axel Schneider","PI8697"
"57","Adherence and acceptability of community?based distribution of micronutrient powders in Southern Mali","SE45","Hamisi Fakhi",1022,"SE45-1022","Anja Sautmann","PI9813"
"58","A randomized trial of cash incentives for sexual behavior change among female sex workers in Dar es Salaam","SE46","Alyssa Heinze",1016,"SE46-1016","Fei Yuan","PI2598"
"59","Heterogenous teacher effects of two incentive schemes: Evidence from a low-income country","SE47","Winnie Mughogho",1002,"SE47-1002","Axel Schneider","PI8697"
"60","Incentivized Peer Referrals for Tuberculosis Screening: Evidence from India","SE48","Salim Benhachmi",1018,"SE48-1018","Eva Vivalt","PI7124"
"61","Invitations, incentives, and conditions: A randomized evaluation of demand-side interventions for health screenings","SE49","Mike Gibson",9999,"SE49-9999","Edward Miguel","PI7697"
"62","Recruitment, Effort, and Retention Effects of Performance Contracts for Civil Servants: Experimental Evidence from Rwandan Primary Schools","SE50","Monica Shandal",1006,"SE50-1006","Eva Vivalt","PI7124"
"63","The Impact of Public-Private Partnerships on Private School Performance: Evidence from a Randomized Controlled Trial in Uganda","SE51","Eric Dee",1008,"SE51-1008","Eva Vivalt","PI7124"
"64","Through the looking glass: Can classroom observation and coaching improve teacher performance in Brazil?","SE52","Jennie Barker",1017,"SE51-1017","Eva Vivalt","PI7124"
"65","Upping the Ante: The Equilibrium Effects of Unconditional Grants to Private Schools","SE53","Dina O'Brien",1019,"SE53-1019","Anja Sautmann","PI9813"
"66","Advisor Value Added and Student Outcomes: Evidence from Randomly Assigned College Advisers","DIME3","Ahwaz Akhtar",1001,"DIME3-1001","Eva Vivalt","PI7124"
"67","Do Public Health Interventions Crowd Out Private Health Investments? Malaria Control Policies in Eritrea.","DIME17","Ahwaz Akhtar",1001,"DIME17-1001","Anja Sautmann","PI9813"
"68","Teacher performance-based incentives and learning inequality.","EDU6","Winnie Mughogho",1002,"EDU6-1002","Edward Miguel","PI7697"
"69","Tackling Psychosocial and Capital Constraints to Alleviate Poverty.","DIME1","Winnie Mughogho",1002,"DIME1-1002","Sergio Puerto","PI2423"
"70","Building Resilient Health Systems: Experimental Evidence from Sierra Leone and the 2014 Ebola Outbreak.","DIME4","Winnie Mughogho",1002,"DIME4-1002","Edward Miguel","PI7697"
"71","The Medium-Term Impact of Entrepreneurship Education on Labor Market Outcomes: Experimental Evidence from University Graduates in Tunisia.","DIME14","Winnie Mughogho",1002,"DIME14-1002","Edward Miguel","PI7697"
"72","Double for nothing? Experimental evidence on an unconditional teacher salary increase in Indonesia.","EDU13","Susan Awor",1003,"EDU13-1003","Eva Vivalt","PI7124"
"73","The White-Man Effect: How Foreigner Presence Affects Behavior in Experiments.","DIME7","Susan Awor",1003,"DIME7-1003","Sergio Puerto","PI2423"
"74","The impact of combining performancemanagement tools and training with diagnostic feedback in public schools: Experimental evidence from Argentina.","EDU3","Colley Buwana",1004,"EDU3-1004","Alaka Holla","PI7251"
"75","Formalization Without Certification? Experimental Evidence on Property Rights and Investment.","DIME20","Colley Buwana",1004,"DIME20-1004","Anja Sautmann","PI9813"
"76","A Helping Hand or the Long Arm of the Law? Experimental Evi-dence on What Governments Can Do to Formalize Firms.","DIME15","Monica Shandal",1006,"DIME15-1006","Edward Miguel","PI7697"
"77","Bureaucrat Time-Use: Evidence from a Survey Experiment.","DIME24","Monica Shandal",1006,"DIME24-1006","Edward Miguel","PI7697"
"78","Voter Information and Political Accountability: Cumulative Findings from a Preregistered Meta- Analysis of Coordinated Trials.","DIME10","Johanna Reyes",1015,"DIME10-1015","Fei Yuan","PI2598"
"79","Does Feedback Matter? Evidence from Agricultural Services.","DIME23","Johanna Reyes",1015,"DIME23-1015","Axel Schneider","PI8697"
"80","Monitoring Water for Conservation: A Proof of Concept from Mozambique.","DIME5","Alyssa Heinze",1016,"DIME5-1016","Axel Schneider","PI8697"
"81","Reconciling After Civil Conflict Increases Social Capital but Decreases Individual Well-Being.","DIME18","Alyssa Heinze",1016,"DIME18-1016","Alaka Holla","PI7251"
"82","Exhaustive or exhausting? Evidence on respondent fatigue in long surveys.","DIME22","Dina O'Brien",1019,"DIME22-1019","Eva Vivalt","PI7124"
"83","How do digital platforms affect employment and job search? Evidence from India.","DIME25","Dina O'Brien",1019,"DIME25-1019","Anja Sautmann","PI9813"
"84","Teaching with the test: Experimental evidence on diagnostic feedback and capacity building for public schools in Argentina.","EDU10","Hamisi Fakhi",1022,"EDU10-1022","Anja Sautmann","PI9813"
"85","The impact of high school financial education: Evidence from a large-scale evaluation in Brazil.","EDU12","Hamisi Fakhi",1022,"EDU12-1022","Edward Miguel","PI7697"
"86","Transfers, Diversification and Household Risk Strategies: Can Productive Safety Nets Help Households Manage Climatic Variability?","DIME26","Hamisi Fakhi",1022,"DIME26-1022","Alaka Holla","PI7251"
"87","Cash for Carbon: A Randomized Controlled Trial of Payments for Ecosystem Services to Reduce Deforestation.","DIME8","Eric Dee",1008,"DIME8-1008","Fei Yuan","PI2598"
"88","Recruitment, effort, and retention effects of performance contracts for civil servants: Experimental evidence from Rwandan primary schools.","EDU11","Jennie Barker",1017,"EDU11-1017","Alaka Holla","PI7251"
"89","Incentivizing school attendance in the presence of parent-child information frictions.","EDU5","Salim Benhachmi",1018,"EDU5-1018","Axel Schneider","PI8697"
"90","Are There Syner- gies from Combining Hygiene and Sanitation Promotion Campaigns: Evidence from a Large- Scale Cluster-Randomized Trial in Rural Tanzania.","DIME2","Mike Gibson",9999,"DIME2-9999","Edward Miguel","PI7697"
"91","Do Private Consultants Promote Savings and Investments in Rural Mozambique?","DIME6","Saqib Hussain",1009,"DIME6-1009","Sergio Puerto","PI2423"
"92","Protecting the Environment for Love or Money? The Role of Motivation and Incentives in Shaping Demand for Payments for Environmental Services Pro- grams.","DIME9","Saqib Hussain",1009,"DIME9-1009","Fei Yuan","PI2598"
"93","The effect of school grants on test scores: Experimental evidence from Mexico","EDU2","Nihaa Sajid",1010,"EDU2-1010","Alaka Holla","PI7251"
"94","International Interventions to Build Social Capital: Evidence from a Field Experiment in Sudan.","DIME16","Nihaa Sajid",1010,"DIME16-1010","Axel Schneider","PI8697"
"95","Do Female Instructors Reduce Gender Bias in Diffusion of Sustainable Land Management Techniques? Experimental Evidence from Mozambique.","DIME13","Lia Ranjan",1011,"DIME13-1011","Fei Yuan","PI2598"
"96","The psychosocial value of employment: Evidence from a refugee camp.","DIME21","Lia Ranjan",1011,"DIME21-1011","Edward Miguel","PI7697"
"97","Impacts of a large-scale parenting program: Experimental evidence from Chile.","EDU4","Clemence Butin",1012,"EDU4-1012","Fei Yuan","PI2598"
"98","Direct vs indirect management training: Experimental evidence from schools in Mexico.","EDU8","Clemence Butin",1012,"EDU8-1012","Sergio Puerto","PI2423"
"99","Evaluating Indoor Residual Spray for Reducing Malaria Infection Prevalence in Eritrea: Results from a Community Randomized ControlTrial.","DIME12","Ejigayehu Diriba",1013,"DIME12-1013","Axel Schneider","PI8697"
"100","Inputs subsidies, credit constraints, and expectations fo future transfers: Evidence from Haiti","DIME19","Ejigayehu Diriba",1013,"DIME19-1013","Sergio Puerto","PI2423"
"101","Teacher-led innovations to improve education outcomes: Experimental evidence from Brazil","EDU1","Rida Khan",1014,"EDU1-1014","Edward Miguel","PI7697"
"102","Bias in Patient Satisfaction Surveys: A Threat to Measuring Healthcare Quality.","DIME11","Rida Khan",1014,"DIME11-1014","Anja Sautmann","PI9813"
"103","Delivering education to the underserved through a public-private partnership program in Pakistan.","EDU7","Aarushi Aggarwal",1023,"EDU7-1023","Axel Schneider","PI8697"
"104","The heterogeneous effect of information on student performance: Evidence from a randomized control trial in Mexico.","EDU9","Aarushi Aggarwal",1023,"EDU9-1023","Fei Yuan","PI2598"
"105","Cash Transfers and Migration: Theory and Evidence from a Randomized Controlled Trial.","DIME27","Susan Awor",1003,"DIME27-1003","Sergio Puerto","PI2423"
"106","Group Incentives for the Public Good: A Field Experiment on Improving the Urban Environment.","DIME28","Susan Awor",1003,"DIME28-1003","Eva Vivalt","PI7124"
"107","Effects of a Community-driven Water, Sanitation and Hygiene Intervention on Water and Sanitation Infrastructure, Access, Behaviour, and Governance: a Cluster-randomised Controlled Trial In Rural Democratic Republic of Congo","DIMES1","Mike Gibson",9999,"DIMES1-9999","Sergio Puerto","PI2423"
"108","Effects of a community-driven water, sanitation, and hygiene programme on COVID-19 symptoms, vaccine acceptance, and non-COVID illnesses: A cluster-randomised controlled trial in rural Democratic Republic of Congo","DIMES2","Mike Gibson",9999,"DIMES2-9999","Edward Miguel","PI7697"
"109","Supermodular Bureaucrats: Evidence from Randomly Assigned Tax Collectors in the DRC","DIMES6","Mike Gibson",9999,"DIMES6-9999","Sergio Puerto","PI2423"
"110","Financing municipal water and sanitation services in Nairobi�s informal settlements","DIMES3","Jennie Barker",1017,"DIMES3-1017","Axel Schneider","PI8697"
"111","Taxing Property in Developing Countries: Theory and Evidence from Mexico","DIMES4","Jennie Barker",1017,"DIMES4-1017","Edward Miguel","PI7697"
"112","The Fiscal Contract up Close: Experimental Evidence from Mexico City","DIMES5","Jennie Barker",1017,"DIMES5-1017","Eva Vivalt","PI7124"
"113","Evaluating a Community-Based Early Childhood Education and Development Program in Indonesia: Study Protocol for a Pragmatic Cluster Randomized Controlled Trial with Supplementary Matched Control Group.","DIME29","Nihaa Sajid",1010,"DIME29-1010","Eva Vivalt","PI7124"
"114","A Field Experiment on the Internet�s Effect in an African Election: Savvier Citizens, Disaffected Voters, or Both","CEGAE6","Ahwaz Akhtar",1001,"CEGAE6-1001","Eva Vivalt","PI7124"
"115","Information Dissemination, Competitive Pressure, and Politician Performance between Elections: A Field Experiment in Uganda","CEGAE20","Ahwaz Akhtar",1001,"CEGAE20-1001","Anja Sautmann","PI9813"
"116","A Helping Handor the Long Arm of the Law? Experimental Evidence on What Governments Can Do to Formalize Firms.","DIME34","Winnie Mughogho",1002,"DIME34-1002","Eva Vivalt","PI7124"
"117","Educative Interventions to Combat Misinformation: Evidence from a Field Experiment in India","CEGAE5","Winnie Mughogho",1002,"CEGAE5-1002","Sergio Puerto","PI2423"
"118","Electoral Rules and Political Selection: Theory and Evidence from a Field Experiment in Afghanistan","CEGAE7","Winnie Mughogho",1002,"CEGAE7-1002","Alaka Holla","PI7251"
"119","Overcoming the Political Exclusion of Migrants: Theory and Experimental Evidence from India","CEGAE17","Winnie Mughogho",1002,"CEGAE17-1002","Axel Schneider","PI8697"
